id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
387039,"Quiet Sunny ""Studio"" in Top Fl Flat",1936623,Trevor And Dawna,,Bushrod,37.84283213092368,-122.26617063601347,Private room,69,30,17,2018-06-01,0.23,2,318
387040,Quiet sunny family-sized garden apt,1936623,Trevor And Dawna,,Bushrod,37.84237499162096,-122.26552268742026,Entire home/apt,99,30,8,2015-08-31,0.14,2,352
466422,"East Bay Room, must like pets!",2305840,Angela & Mark,,Sheffield Village,37.73378506567515,-122.13178163286571,Private room,40,2,32,2017-08-01,0.43,5,0
467815,Private Room in cute bungalow in Oakland,2313208,Christina,,Rancho San Antonio,37.792067045763005,-122.24137916463525,Private room,40,2,4,2018-05-08,1.03,1,9
470028,Landmark Craftsman Mansion,1748565,Foster,,Upper Rockridge,37.85114826006384,-122.23729372923123,Entire home/apt,2500,4,8,2018-04-21,0.15,1,365
480379,"Stylish bungalow near hospitals, Berkeley, & BART",1750414,Angela,,Santa Fe,37.84437330084838,-122.27450211937801,Entire home/apt,125,30,4,2018-05-14,0.17,1,330
486415,Art Deco in the Oakland Hills ,2407132,Jess,,Redwood Heights,37.80112449612844,-122.19014011767837,Entire home/apt,225,7,6,2015-08-07,0.08,1,0
503632,"Entire, Central 2 BR Rockridge Temescal Upper Flat",1481714,Susie,,Shafter,37.83887586141012,-122.25629224051424,Entire home/apt,134,4,126,2018-06-24,1.71,1,136
504137,Sunny bedroom w/ Tuscan patio view,2486127,Serena,,Sausal Creek,37.797353490977336,-122.21968199909418,Private room,75,7,9,2017-12-29,0.13,1,325
506600,June Sublet| Urban Eco living Private 1br,2497795,AManda,,Oakland Ave-Harrison St,37.81674844012318,-122.26001092577728,Entire home/apt,90,15,1,2012-06-17,0.01,1,0
506630,Sunny & Fabulous 4 BR Piedmont / Oakland Home,674777,Chad & Kelly,,Piedmont,37.817854434140145,-122.23522389509765,Entire home/apt,300,5,4,2016-08-06,0.07,1,196
510260,Extra gluten and free bed bugs!,176669,Barbara,,Longfellow,37.834018050322285,-122.27245307249107,Private room,59,1,284,2018-07-02,3.85,1,34
515183,Modern Redwood Oasis in Rockridge,266136,Stephen,,Shafter,37.8424854438357,-122.25654191838392,Entire home/apt,193,6,29,2018-05-27,0.42,1,66
515300,Cozy Room in 105 year old Oakland home!,2537935,Michelle,,Jefferson,37.77819029872262,-122.2097584320519,Private room,40,7,33,2018-06-11,0.51,1,143
